gene	chr	tx_start	tx_end	strand
ANGPT4	20	853299	896960	-
ANGPTL1	1	178818671	178840215	-
ANGPTL2	9	129849628	129885044	-
ANGPTL3	1	63063187	63071180	+
ANGPTL4	19	8429011	8439257	+
ANGPTL5	11	101761406	101787253	-
ANGPTL6	19	10203013	10213425	-
ANGPTL7	1	11249398	11256037	+
ANK1	8	41510745	41754280	-
ANK2	4	113739239	114304894	+
ANK3	10	61788160	62149488	-
ANKAR	2	190540711	190611375	+
ANKDD1A	15	65204101	65251039	+
ANKFN1	17	54230836	54560007	+
ANKFY1	17	4066667	4167274	-
ANKH	5	14704910	14871887	-
ANKHD1	5	139781429	139919439	+
ANKHD1-EIF4EBP3	5	139781429	139929163	+
ANKIB1	7	91875548	92030698	+
ANKK1	11	113258513	113271139	+
ANKLE1	19	17392454	17398454	+
ANKLE2	12	133302254	133338451	-
ANKMY1	2	241418839	241497405	-
ANKMY2	7	16639405	16685442	-
ANKRA2	5	72848163	72861498	-
ANKRD1	10	92671857	92681032	-
ANKRD10	13	111530888	111567416	-
ANKRD11	16	89334035	89556969	-
ANKRD12	18	9136758	9285206	+
ANKRD13A	12	110437235	110477233	+
ANKRD13B	17	27920527	27941778	+
ANKRD13C	1	70724686	70820417	-
ANKRD13D	11	67056762	67069954	+
ANKRD16	10	5903691	5931860	-
ANKRD17	4	73940503	74124502	-
ANKRD18A	9	38571363	38620360	-
ANKRD2	10	99332256	99343639	+
ANKRD20A1	9	67926761	67969839	+
ANKRD20A2	9	42368303	43133544	+/-
ANKRD20A3	9	42368303	67970291	+/-
ANKRD20A4	9	69381981	69425108	+
ANKRD22	10	90579661	90611732	-
ANKRD23	2	97503652	97509758	-
ANKRD24	19	4183351	4224811	+
ANKRD26	10	27293045	27389427	-
ANKRD27	19	33087907	33166102	-
ANKRD28	3	15708744	15901053	-
ANKRD29	18	21179980	21242849	-
ANKRD30A	10	37414785	37521495	+
ANKRD30B	18	14748239	14852737	+
ANKRD31	5	74364123	74532703	-
ANKRD32	5	93954391	94031571	+
ANKRD33	12	52281793	52285504	+
ANKRD33B	5	10564435	10657927	+
ANKRD34A	1	145470508	145475647	+
ANKRD34B	5	79852575	79866304	-
ANKRD34C	15	79575146	79590580	+
ANKRD35	1	145549209	145568526	+
ANKRD36	2	97779233	97930255	+
ANKRD36B	2	98121261	98206428	-
ANKRD37	4	186317840	186321389	+
ANKRD39	2	97513731	97523756	-
ANKRD40	17	48770552	48785270	-
ANKRD42	11	82905291	82960013	+
ANKRD43	5	132149033	132152488	+
ANKRD44	2	197859250	198062762	-
ANKRD45	1	173577475	173639001	-
ANKRD46	8	101533000	101572012	-
ANKRD49	11	94227153	94232740	+
ANKRD5	20	10015697	10037405	+
ANKRD50	4	125585206	125633887	-
ANKRD52	12	56631592	56652143	-
ANKRD53	2	71205575	71212628	+
ANKRD54	22	38226863	38240303	-
ANKRD55	5	55395508	55529186	-
ANKRD56	4	77816083	77819002	-
ANKRD57	2	110371911	110376563	+
ANKRD58	23	118892576	118894164	+
ANKRD6	6	90142897	90343402	+
ANKRD7	7	117864712	117882782	+
ANKRD9	14	102973198	102976128	-
ANKS1A	6	34857038	35059188	+
ANKS1B	12	99129071	100378432	-
ANKS3	16	4746513	4784163	-
ANKS4B	16	21245016	21263750	+
ANKS6	9	101494292	101558794	-
ANKZF1	2	220094479	220101390	+
ANLN	7	36429432	36493398	+
ANO1	11	69924408	70035649	+
ANO10	3	43407819	43663560	-
ANO2	12	5671817	6055398	-
ANO3	11	26353678	26684835	+
ANO4	12	101188374	101522419	+
ANO5	11	22214722	22304913	+
ANO6	12	45609770	45834187	+
ANO7	2	242127924	242164791	+
ANO8	19	17434032	17445638	-
ANO9	11	417930	442011	-
ANP32A	15	69070877	69113261	-
ANP32B	9	100745489	100778222	+
ANP32C	4	165118160	165118863	-
ANP32D	12	48866448	48866842	+
ANP32E	1	150190718	150208504	-
ANPEP	15	90328127	90358072	-
ANTXR1	2	69240276	69476457	+
ANTXR2	4	80822773	80994477	-
ANUBL1	10	46111040	46168251	-
ANXA1	9	75766781	75785307	+
ANXA10	4	169013707	169108891	+
ANXA11	10	81914880	81965328	-
ANXA13	8	124693035	124749647	-
ANXA2	15	60639351	60690185	-
ANXA3	4	79472742	79531602	+
ANXA4	2	69969127	70053594	+
ANXA5	4	122589153	122618147	-
ANXA6	5	150480268	150537367	-
ANXA7	10	75135189	75173841	-
ANXA8	10	47157986	48271366	+/-
ANXA8L1	10	47157991	48271361	+/-
ANXA8L2	10	47746920	47763038	+
ANXA9	1	150954499	150968114	+
AOAH	7	36552549	36764154	-
AOC2	17	40996609	41002722	+
AOC3	17	41003201	41010138	+
AOX1	2	201450731	201536215	+
AP1AR	4	113152895	113191209	+
AP1B1	22	29723671	29784572	-
AP1G1	16	71762907	71842976	-
AP1G2	14	24028777	24037279	-
AP1M1	19	16308665	16346156	+
AP1M2	19	10683348	10697991	-
AP1S1	7	100797686	100804556	+
AP1S2	23	15843930	15873100	-
AP1S3	2	224620048	224702319	-
AP2A1	19	50270180	50310367	+
AP2A2	11	925841	1012239	+
AP2B1	17	33914282	34053433	+
AP2M1	3	183892634	183901878	+
AP2S1	19	47341423	47354203	-
AP3B1	5	77298151	77590528	-
AP3B2	15	83328034	83378635	-
AP3D1	19	2100994	2151556	-
AP3M1	10	75880016	75910826	-
AP3M2	8	42010464	42028702	+
AP3S1	5	115177619	115249776	+
AP3S2	15	90373832	90437617	-
AP4B1	1	114437677	114447741	-
AP4E1	15	51200946	51298097	+
AP4M1	7	99699130	99704802	+
AP4S1	14	31494683	31562634	+
APAF1	12	99039078	99129204	+
APBA1	9	72042449	72287275	-
APBA2	15	29213840	29410514	+
